prédikunarstólinn,    ˈpʰrɛːtɪkʏnarstouːlɪn
aftansöngur,          ˈaftansœiŋkʏr
aftar,                ˈaftar
aftari,               ˈaftarɪ
aftarlega,            ˈaftarlɛɣa
aftast,               ˈaftast
aftasta,              ˈaftasta
aftra,                ˈaftra
aftraði,              ˈaftraðɪ
aftur,                ˈaftʏr
afturdyrnar,          ˈaftʏrtɪrtnar
afturelding,          ˈaftʏrɛltiŋk
aftureldingar,        ˈaftʏrɛltiŋkar
aftureldingu,         ˈaftʏrɛltiŋkʏ
afturenda,            ˈaftʏrɛnta
afturendann,          ˈaftʏrɛntan
afturfæturna,         ˈaftʏrfaiːtʏrtna
afturfótunum,         ˈaftʏrfouːtɔnʏm
afturför,             ˈaftʏrfœːr
afturgluggann,        ˈaftʏrklʏkan
afturgoldið,          ˈaftʏrkɔltɪð
afturgöngu,           ˈaftʏrkœiŋkʏ
afturgöngur,          ˈaftʏrkœiŋkʏr
afturhjólanna,        ˈaftʏrçouːlana
afturhvarf,           ˈaftʏrkʰvarv
afturkalla,           ˈaftʏrkʰatla
afturkvæmt,           ˈaftʏrkʰvaim̥t
afturlappirnar,       ˈaftʏrlahpɪrtnar
afturlöppunum,        ˈaftʏrlœhpɔnʏm
afturstuðarann,       ˈaftʏrstʏðaran
aftursæta,            ˈaftʏrsaita
aftursæti,            ˈaftʏrsaiːtɪ
aftursætinu,          ˈaftʏrsaiːtɪnʏ
aftursætið,           ˈaftʏrsaiːtɪð
aftursætum,           ˈaftʏrsaiːtʏm
afturábak,            ˈaftʏraupaːk
afturí,               ˈaftʏriː
aftöku,               ˈaftœkʏ
aftökur,              ˈaftœkʏr
afundin,              ˈaːvʏntɪn
afundinn,             ˈaːvʏntɪn
afurð,                ˈaːvʏrð
afurða,               ˈaːvʏrða
afurðaaukning,        ˈaːvʏrðaœihkniŋk
afurðakerfi,          ˈaːvʏrðacʰɛrvɪ
afurðanna,            ˈaːvʏrðana
afurðasamsetning,     ˈaːvʏrðasamsɛhtniŋk
afurðastöð,           ˈaːvʏrðastœːð
afurðatekjum,         ˈaːvʏrðatʰɛːcʏm
afurðaverð,           ˈaːvʏrðavɛrð
afurðir,              ˈaːvʏrðɪr
afurðirnar,           ˈaːvʏrðɪrtnar
afurðum,              ˈaːvʏrðʏm
afviknum,             ˈavɪhknʏm
afvopna,              ˈavɔhpna
afvopnun,             ˈavɔhpnʏn
afþakka,              ˈafθahka
afþakkað,             ˈafθahkað
afþakkaði,            ˈafθahkaðɪ
afþreying,            ˈafθreijiŋk
afþreyingar,          ˈafθreijiŋkar
afþreyingarefni,      ˈafθreijiŋkarɛpnɪ
afþreyingu,           ˈafθreijiŋkʏ
aga,                  ˈaːɣa
agalega,              ˈaːɣalɛɣa
agalegt,              ˈaːɣalɛxt
agaleysi,             ˈaːɣaleiːsɪ
agatha,               ˈaːkata
aggagagg,             ˈakakak
aggi,                 ˈacɪ
aggý,                 ˈaci
agi,                  ˈaijɪ
aginn,                ˈaijɪn
agli,                 ˈaklɪ
agn,                  ˈakn̥
agna,                 ˈakna
agnar,                ˈaknar
agnari,               ˈaknarɪ
agnarlítil,           ˈaknarliːtɪl
agnarlítið,           ˈaknarliːtɪð
agnars,               ˈaknar̥s
agnarsdóttir,         ˈaknar̥stouhtɪr
agnarsmáu,            ˈaknarsmauːʏ
agnarsson,            ˈaknar̥sɔːn
agnarssonar,          ˈaknar̥sɔːnar
agnarögn,             ˈaknarœkn̥
agndofa,              ˈakntɔva
agnes,                ˈaknɛs
agnir,                ˈaknɪr
agnið,                ˈaknɪð
agúrkunni,            ˈaːkur̥kʏnɪ
aha,                  ˈaːha
aids,                 ˈeits
ak,                   ˈaːk
aka,                  ˈaːka
akademíunnar,         ˈaːkatɛmijʏnar
akandi,               ˈaːkantɪ
akfeitur,             ˈaːkfeitʏr
aki,                  ˈaːcɪ
akkeri,               ˈahcɛrɪ
akkilesarhæll,        ˈahcɪlɛsarhaitl̥
akkorð,               ˈahkɔrð
akkur,                ˈahkʏr
akkúrat,              ˈahkurat
aknet,                ˈaːkʰnɛt
akraborginni,         ˈaːkrapɔrcɪnɪ
akrafjall,            ˈaːkrafjatl̥
akrahreppi,           ˈaːkrar̥ɛhpɪ
akrana,               ˈaːkrana
akranes,              ˈaːkranɛːs
akranesapótek,        ˈaːkranɛːsaːpoutɛk
akranesi,             ˈaːkranɛːsɪ
akraneskirkja,        ˈaːkranɛscʰɪr̥ca
akraneskirkju,        ˈaːkranɛscʰɪr̥cʏ
akraness,             ˈaːkranɛs
akrar,                ˈaːkrar
akrein,               ˈaːkrein
akreina,              ˈaːkreina
akreinar,             ˈaːkreinar
akrinum,              ˈaːkrɪnʏm
akrópólis,            ˈaːkroupoulɪs
akrýldúkur,           ˈaːkriltuːkʏr
akstri,               ˈakstrɪ
akstur,               ˈakstʏr
aksturinn,            ˈakstʏrɪn
aksturs,              ˈakstʏr̥s
akstursgjald,         ˈakstʏr̥scalt
akstursklúbbi,        ˈakstʏr̥skʰlupɪ
akstursleiðin,        ˈakstʏr̥stleiðɪn
akstursíþróttir,      ˈakstʏr̥siːθrouhtɪr
aktu,                 ˈaxtʏ
aktygi,               ˈaːktiɪ
aktífir,              ˈaxtivɪr
aktífur,              ˈaxtivʏr
akur,                 ˈaːkʏr
akurbrekku,           ˈaːkʏrprɛhkʏ
akureyrar,            ˈaːkʏreiːrar
akureyrarbæ,          ˈaːkʏreirarpaiː
akureyrarbæjar,       ˈaːkʏreirarpaiːjar
akureyrarbær,         ˈaːkʏreirarpaiːr
akureyrarferð,        ˈaːkʏreirarfɛrð
akureyrarhöfn,        ˈaːkʏreirarhœpn̥
akureyrarkirkja,      ˈaːkʏreirarcʰɪr̥ca
akureyrarkirkju,      ˈaːkʏreirarcʰɪr̥cʏ
akureyri,             ˈaːkʏreiːrɪ
akureyrin,            ˈaːkʏreiːrɪn
akureyringa,          ˈaːkʏreiːriŋka
akureyringar,         ˈaːkʏreiːriŋkar
akurgerði,            ˈaːkʏrcɛrðɪ
akurlöndin,           ˈaːkʏrtlœntɪn
akuryrkju,            ˈaːkʏrɪr̥cʏ
akvegur,              ˈaːkʰvɛɣʏr
al,                   ˈaːl
ala,                  ˈaːla
alaska,               ˈaːlaska
alast,                ˈaːlast
albana,               ˈalpana
albanar,              ˈalpanar
albanska,             ˈalpanska
albanskra,            ˈalpanskra
albaníu,              ˈalpanijʏ
albatros,             ˈalpatʰrɔs
albert,               ˈalpɛr̥t
alberts,              ˈalpɛr̥ts
albertsdóttir,        ˈalpɛr̥tstouhtɪr
albertsson,           ˈalpɛr̥tsɔːn
albertssonar,         ˈalpɛr̥tsɔːnar
albesta,              ˈalpɛsta
albjart,              ˈalpjar̥t
albjört,              ˈalpjœr̥t
albönsku,             ˈalpœnskʏ
albúin,               ˈalpuɪn
albúinn,              ˈalpuɪn
albúm,                ˈalpum
alcoa,                ˈalkoua
alda,                 ˈalta
aldamót,              ˈaltamouːt
aldamótin,            ˈaltamouːtɪn
aldamótum,            ˈaltamouːtʏm
aldamótunum,          ˈaltamouːtɔnʏm
aldanna,              ˈaltana
aldar,                ˈaltar
aldarafmæli,          ˈaltaramailɪ
aldaraðir,            ˈaltaraðɪr
aldarfjórðung,        ˈaltarfjourðuŋk
aldarfjórðungi,       ˈaltarfjourðuɲcɪ
aldarinnar,           ˈaltarɪnar
aldeilis,             ˈalteilɪs
aldimmt,              ˈaltɪm̥t
aldinkjötið,          ˈaltɪncʰœːtɪð
aldir,                ˈaltɪr
aldirnar,             ˈaltɪrtnar
aldna,                ˈaltna
aldni,                ˈaltnɪ
aldnir,               ˈaltnɪr
aldraða,              ˈaltraða
aldraðir,             ˈaltraðɪr
aldraðra,             ˈaltraðra
aldraðri,             ˈaltraðrɪ
aldraður,             ˈaltraðʏr
aldrei,               ˈaltrei
aldri,                ˈaltrɪ
aldrinum,             ˈaltrɪnʏm
aldur,                ˈaltʏr
aldurinn,             ˈaltʏrɪn
aldurs,               ˈaltʏr̥s
aldursdreifing,       ˈaltʏr̥streiviŋk
aldursflokki,         ˈaltʏr̥sflɔhcɪ
aldursflokkum,        ˈaltʏr̥sflɔhkʏm
aldursgreina,         ˈaltʏr̥skreina
aldurshóp,            ˈaltʏr̥shouːp
aldurshópa,           ˈaltʏr̥shouːpa
aldurshópar,          ˈaltʏr̥shouːpar
aldurshópi,           ˈaltʏr̥shouːpɪ
aldurshópnum,         ˈaltʏr̥shouhpnʏm
aldurshópum,          ˈaltʏr̥shouːpʏm
aldursmun,            ˈaltʏr̥smʏːn
aldursmunur,          ˈaltʏr̥smʏːnʏr
aldursstig,           ˈaltʏr̥stɪɣ
aldurstakmark,        ˈaltʏr̥stʰaːkmar̥k
aldurstakmarkið,      ˈaltʏr̥stʰakmar̥cɪð
aldurstengds,         ˈaltʏr̥steiŋts
aldursári,            ˈaltʏr̥sauːrɪ
aldurtila,            ˈaltʏrtʰɪːla
aldís,                ˈaltis
alefli,               ˈaːlɛplɪ
alein,                ˈaːlein
aleina,               ˈaːleina
aleini,               ˈaːleinɪ
aleinir,              ˈaːleinɪr
aleinn,               ˈaːleitn̥
alex,                 ˈaːlɛks
alexander,            ˈaːlɛksantɛr
alexanders,           ˈaːlɛksantɛr̥s
alexanderson,         ˈaːlɛksantɛr̥sɔːn
alexandersson,        ˈaːlɛksantɛr̥sɔːn
alexandra,            ˈaːlɛksantra
alfa,                 ˈalfa
alfadeildinni,        ˈalfateiltɪnɪ
alfaraleið,           ˈalfaraleiːð
alfarið,              ˈalfarɪð
alfonso,              ˈalfɔnsɔ
alfreð,               ˈalfrɛð
alfreðs,              ˈalfrɛðs
alfreðsdóttir,        ˈalfrɛðstouhtɪr
alfreðsson,           ˈalfrɛðsɔːn
alfreðssonar,         ˈalfrɛðsɔːnar
alfræðiorðabókin,     ˈalfraiðɪɔrðapouːcɪn
alfræðiriti,          ˈalfraiðɪrɪːtɪ
algegnt,              ˈalceiŋ̊t
algeirsborg,          ˈalceir̥spɔrk
algeng,               ˈalceiŋk
algenga,              ˈalceiŋka
algengan,             ˈalceiŋkan
algengar,             ˈalceiŋkar
algengara,            ˈalceiŋkara
algengari,            ˈalceiŋkarɪ
algengast,            ˈalceiŋkast
algengasta,           ˈalceiŋkasta
algengastar,          ˈalceiŋkastar
algengi,              ˈalceiɲcɪ
algengir,             ˈalceiɲcɪr
algengra,             ˈalceiŋkra
algengt,              ˈalceiŋ̊t
algengum,             ˈalceiŋkʏm
algengur,             ˈalceiŋkʏr
algengust,            ˈalceiŋkʏst
algengustu,           ˈalceiŋkʏstʏ
alger,                ˈalcɛr
algera,               ˈalcɛra
algerar,              ˈalcɛrar
algerlega,            ˈalcɛrlɛɣa
algerrar,             ˈalcɛrar
algerri,              ˈalcɛrɪ
algert,               ˈalcɛr̥t
algeru,               ˈalcɛrʏ
algild,               ˈalcɪlt
algilt,               ˈalcɪl̥t
algjör,               ˈalcœr
algjöra,              ˈalcœra
algjöran,             ˈalcœran
algjörlega,           ˈalcœrlɛɣa
algjörri,             ˈalcœrɪ
algjört,              ˈalcœr̥t
algjöru,              ˈalcœrʏ
algjörum,             ˈalcœrʏm
algleymi,             ˈalkleimɪ
algleymingi,          ˈalkleimiɲcɪ
algróin,              ˈalkrouɪn
algyðishofið,         ˈalcɪðɪshɔːvɪð
algóðan,              ˈalkouðan
algóður,              ˈalkouðʏr
alheimi,              ˈaːlheimɪ
alheiminn,            ˈaːlheimɪn
alheiminum,           ˈaːlheimɪnʏm
alheims,              ˈaːlheims
alheimsins,           ˈaːlheimsɪns
alheimurinn,          ˈaːlheimʏrɪn
alhliða,              ˈal̥ɪða
alhug,                ˈaːl̥ʏɣ
alhuga,               ˈaːlhʏɣa
alhvítur,             ˈaːlkʰvitʏr
ali,                  ˈaːlɪ
alin,                 ˈaːlɪn
alinn,                ˈaːlɪn
alist,                ˈaːlɪst
alið,                 ˈaːlɪð
alkahóli,             ˈalkahouːlɪ
alkalí,               ˈalkʰali
alkalírafhlöður,      ˈalkʰalirafl̥œðʏr
alklædd,              ˈalkʰlait
alkominn,             ˈalkʰɔmɪn
alkunna,              ˈalkʰʏna
alkunnri,             ˈalkʰʏnrɪ
alkunnu,              ˈalkʰʏnʏ
alkóa,                ˈalkʰoua
alkóhólista,          ˈal̥kouhoulɪsta
all,                  ˈatl̥
alla,                 ˈatla
allajafna,            ˈatlajapna
allan,                ˈatlan
allar,                ˈatlar
allavega,             ˈatlavɛɣa
allavegana,           ˈatlavɛkana
allflestra,           ˈatl̥flɛstra
allflóknu,            ˈatl̥flouhknʏ
allforhertur,         ˈatl̥fɔːrhɛr̥tʏr
allgóður,             ˈatl̥kouːðʏr
allhressilega,        ˈatl̥r̥ɛsɪlɛɣa
alli,                 ˈalɪ
allir,                ˈatlɪr
alllangt,             ˈatlauŋ̊t
alllengi,             ˈatleiɲcɪ
allliðlegan,          ˈatlɪðlɛɣan
allmargar,            ˈatl̥markar
allmargir,            ˈatl̥marcɪr
